Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Terminator,Flowchart Shapes,1,,,,,,,main
3,Process,Flowchart Shapes,1,,,,,,,"int a, b, c;a = 1;"
4,Process,Flowchart Shapes,1,,,,,,,"b = 2;"
5,Process,Flowchart Shapes,1,,,,,,,"c = a+b;"
6,Display,Flowchart Shapes,1,,,,,,,"""c: "", c"
7,Terminator,Flowchart Shapes,1,,,,,,,
8,Line,,1,,,2,3,None,Arrow,
9,Line,,1,,,3,4,None,Arrow,
10,Line,,1,,,4,5,None,Arrow,
11,Line,,1,,,5,6,None,Arrow,
12,Line,,1,,,6,7,None,Arrow,
13,Page,,,,,,,,,Page 2
14,Terminator,Flowchart Shapes,13,,,,,,,main
15,Process,Flowchart Shapes,13,,,,,,,"int a;a = 1;"
16,Display,Flowchart Shapes,13,,,,,,,"""smaller than 3: "", i"
17,Manual Operation,Flowchart Shapes,13,,,,,,,while i < 5
18,Decision,Flowchart Shapes,13,,,,,,,if i < 3
19,Decision,Flowchart Shapes,13,,,,,,,elif i == 3
20,Display,Flowchart Shapes,13,,,,,,,"""3: "", i"
21,Display,Flowchart Shapes,13,,,,,,,"""bigger than 3: "", i"
22,Process,Flowchart Shapes,13,,,,,,,"return k;"
23,Manual Operation,Flowchart Shapes,13,,,,,,,
24,Terminator,Flowchart Shapes,13,,,,,,,
25,Decision,Flowchart Shapes,13,,,,,,,
26,Line,,13,,,14,15,None,Arrow,
27,Line,,13,,,15,17,None,Arrow,
28,Line,,13,,,18,16,None,Arrow,Yes
29,Line,,13,,,17,18,None,Arrow,
30,Line,,13,,,18,19,None,Arrow,No
31,Line,,13,,,19,20,None,Arrow,Yes
32,Line,,13,,,19,21,None,Arrow,No
33,Line,,13,,,22,23,None,Arrow,
34,Line,,13,,,23,24,None,Arrow,
35,Line,,13,,,25,22,None,Arrow,Yes
36,Line,,13,,,16,25,None,Arrow,
37,Line,,13,,,20,25,None,Arrow,
38,Line,,13,,,21,25,None,Arrow,
